frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,_ws.col.protocol
"Apr 27, 2025 15:54:02.382613000 CDT","34.49.62.162","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.382614000 CDT","34.49.62.162","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.382614000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.382615000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.382780000 CDT","192.168.4.148","34.49.62.162",,,"QUIC"
"Apr 27, 2025 15:54:02.382782000 CDT","192.168.4.148","34.49.62.162",,,"QUIC"
"Apr 27, 2025 15:54:02.382793000 CDT","192.168.4.148","34.49.62.162",,,"QUIC"
"Apr 27, 2025 15:54:02.382799000 CDT","192.168.4.148","34.49.62.162",,,"QUIC"
"Apr 27, 2025 15:54:02.382863000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.394417000 CDT","192.168.4.148","142.251.186.95",,,"UDP"
"Apr 27, 2025 15:54:02.398274000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.398275000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.398512000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.405427000 CDT","142.251.186.95","192.168.4.148",,,"UDP"
"Apr 27, 2025 15:54:02.414545000 CDT","34.49.62.162","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.414546000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.414547000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.414547000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.414729000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.414747000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.424689000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.424691000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.424697000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.424698000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.424699000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.424700000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.424701000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.424702000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.424703000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.424704000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.424705000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.424706000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.424707000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.424707000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
